40 GPa high,
S (wt%S),T (K)
12.43069,1597.2
13,1647
14,1730
15,1787
16,1833
17,1873
18,1908
19,1941
20,1971
21,1999
22,2026
23,2051
24,2075
25,2098
26,2120
27,2142
28,2162
29,2182
30,2202
31,2220
32,2239
33,2256
34,2274
35,2291
36,2308
