30 GPa high,
S (wt%S),T (K)
14.1,1455
15,1575
16,1646
17,1707
18,1759
19,1804
20,1842
21,1876
22,1906
23,1934
24,1958
25,1982
26,2003
27,2023
28,2042
29,2060
30,2077
31,2093
32,2109
33,2124
34,2138
35,2151
36,2164
