23 GPa low,
S (wt%S),T (K)
0,2424.289494
1,2339.267
2,2256.912
3,2192.041
4,2141.06
5,2100.375
6,2066.392
7,2035.517
8,2004.156
9,1968.715
10,1925.6
11,1871.217
12,1801.972
13,1714.271
14,1604.52
15,1469.125
15.56753,1355.205
