23 GPa high,
S (wt%S),T (K)
21,1492
22,1555
23,1614
24,1669
25,1720
26,1768
27,1812
28,1852
29,1888
30,1921
31,1950
32,1976
33,1997
34,2015
35,2029
36,2040
