20 GPa low,
S (wt%S),T (K)
0,2369.152935
1,2233.91
2,2140.99
3,2063.16
4,1998.03
5,1943.24
6,1896.39
7,1855.1
8,1816.99
9,1779.69
10,1740.8
11,1697.95
12,1648.76
13,1590.84
14,1521.82
15,1439.31
16.26449,1312.5
