40 GPa low,
S (wt%S),T (K)
0,2666.437375
1,2564.6178
2,2478.3516
3,2403.912
4,2337.6096
5,2275.755
6,2214.6588
7,2150.6316
8,2079.984
9,1999.0266
10,1904.07
11,1791.4248
12,1657.4016
12.43069,1597.2
