T (K),P (GPa)
1695,5
1685,6
1674,7
1662,8
1650,9
1636,10
1622,11
1607,12
1590,13
1574,14
1556,15
1537,16
1518,17
1497,18
1476,19
1454,20
1431,21
1408,22
1383,23
1358,24
