T (K),P (GPa)
2386,20
2409,21
2433,22
2479,24
2502,25
2525,26
2547,27
2569,28
2590,29
2612,30
2633,31
2654,32
2674,33
2695,34
2715,35
2735,36
2755,37
2774,38
2793,39
2812,40
